"uid","asin","title","stars","reviews","boughtInLastMonth","isBestSeller","price"
297768,"B004DPRTSE","Luggage Animal Print 5 Piece Set, Leopard, One Size",3.7,138,0,0,67.9
297745,"B0BSBX2XPR","Beach Bag and Pool Bag, XXL Extra Large Waterproof Sandproof Travel Tote Bag for Women, Zipper Closure, Inner Pockets",3.6,379,100,0,109.11
295361,"B0BG96C62P","Helios 2pc Softside Luggage Set, Navy Yellow",4.7,2835,0,0,100.42
295069,"B00NF9HISK","UPPAbaby VISTA Travel Bag with TravelSafe",3.3,825,0,0,57.56
297025,"B09VD9FGDH","Quaint 31"" Hardside Checked 8 Wheel Expandable Spinner, Cobblestone with Mulch Trim",2.5,221,0,0,70.11
296801,"B0B3LZ9KNH","Expectant 28"" Softside Checked 8 Wheel Expandable Spinner, Black",2.5,3368,200,0,102.42
296604,"B0B19XPNWB","Extra Large Beach Tote Bag,Newest Multiple Pockets Waterproof bolsa de playa",3.8,3606,50,0,153.42
297478,"B00P4J5MLO","Luggage Wheel Set - 76x24mm Wheel Size",3.5,864,200,0,102.9
298515,"B086PRC8QT","Travel Luggage Cover Suitcase Protector Elastic Trolley Case Cover for 26-30 Inches Luggage Size L (Light Green)",4,268,300,0,89.59
295865,"B0BFVXCKSN","Garment Bags For Travel,66"" Carry On Travel Garment Bag For Dresses Long,Wedding Dress Garment Bag,Dress Bags For Gowns Long,Travel Suit Bags For Men Women,Hanging Garment Bag For Wedding Gowns Coats",2.4,3261,200,0,115.26
295427,"B0BFJMVXY2","Meridian, 22 Inch Travel Hardside Luggage, Durable Hardshell Luggage, Expandable Suitcase, Lightweight Rolling Luggage for Women, Carry On Luggage 22x14x9 Airline Approved (Chromatic)",3.5,624,200,0,102.83
295633,"B0BRCSGKPT","Scooter Luggage Detachable Ride On Suitcase Scooter for Kids Age 4-15,Carry-On Luggage Airline Approved,Multifunctional Travel Trolley Kids Scooter Suitcase Pink",4.5,2424,200,0,95.98
298551,"B01GU40UPE","Natural Canvas Makeup Bag With Zipper Closure Badass & Brilliant",3.6,4114,300,0,181.57
297265,"B0B3WSFBY5","Ginza Travel New Classic Aluminum Frame Fashion Bright Color Suitcase TSA Combination Lock Universal Wheel （Colorful Series） (Sky Blue, Carry-On 20"")",3.5,987,50,0,65.91
299483,"B01BHXXEGK","T1 Bus",2.9,2525,0,0,154.82
295677,"B00S087RPU","Printed Luggage Cover, Black, Large",3.6,1978,0,0,129.23
298976,"B0C1Y8VBJV","Parks Theme Inspired Tote Bag Magic Kingdom Gifts Magic World Gift Magic Kingdom Tote Bag Family Vacation Gift",2.2,111,0,0,100.2
295545,"B07G4SRQC8","Standard, Black, std",2.4,2241,300,0,95.44
297110,"B0BZJ9FNSX","Luggage Protector Suitcase Cover Travel Suitcase Cover Baggage Covers Fit 25-28 Inch Red Bow",5,1598,200,0,103.79
295721,"B09NXFFJJ9","Beach Stripes 26"" Softside Carry-On 8 Wheel Spinner, Black/Grey",2.3,136,0,0,105.58
297244,"B0BB62281Z","Peeking Karl Upright Luggage with 8 Spinner Wheels, ABS+PC Case, Weekend Bag, Black",3.6,1283,300,0,109.18
296576,"B0B54BJZF5","Premium Carry On Travel Garment Bag with Shoulder Strap and Two Large Pockets for Men & Women, Black, 52-Inch",3.2,626,400,0,108.27
297886,"B0B9CHRSJG","Eluder 32"" Softside Checked 8 Wheel Expandable Spinner Luggage, Cool Blue Camo",3.2,1075,200,0,58.08
297246,"B00E8HUQMI","FLW-Kabana Men's Tri fold, Black, One Size",3.8,1926,300,0,85.86
297679,"B0B2LPZGBB","Washable Elastic Cartoon Pink Cat Luggage Cover Travel Suitcase Protective Cover Trunk Case Fits 18''-32'' Suitcase Protector Baggage With Concealed Zipper Gifts for Women Girls Map 4 Medium",1,2290,0,0,125.74
296912,"B074BR38P8","Women's Danielle-Wheeled Under The Seat Carry On Bag, Telescoping Handles, Black Croc, One Size",4.7,2400,300,0,153.8
298623,"B07VS8WXRH","Men's Navigator Range",2.2,3648,200,0,91.68
295815,"B0B3HY5GJF","International Front Pocket Expandable 4 Wheeled Carry-On Blush",4.5,3857,50,0,100.16
296785,"B0858CD43Y","DUXAA Luggage Protector Suitcase Cover Clear PVC Suitcase Cover Protectors Luggage Cover Waterproof for Wheeled Suitcase Fits Most 20"" 22"" 24"" 26"" 28"" 30"" (28 In)",4.9,1198,300,0,115.21
299251,"B07PCRF7YD","Prosperous 21"" Hardside Checked 8 Wheel Expandable Spinner, Metallic Blue",4.7,1433,200,0,97.07
295637,"B07D4CXVXM","66"" Versatile Travel Wedding Dress Garment Bag Tri-Fold Gown Length w/Hanging Hook Extra Pocket by Magictodoor",2.2,2337,0,0,135.31
297213,"B09DFKB31T","Xstyle 2Pcs 360 Swivel Suitcase Caster Wheels with Screw Black Small Wear Resistant Wheel Outdoor Luggage Travel Suitcase Wheels Replacement for W041 Suitcase Repair 1.92x0.66x3.54inch",4.9,2189,200,0,168.05
296190,"B0BTQ6D4QV","Alpha Bravo Continental Front Lid Expandable 4 Wheel Carry On - Navy",3.4,74,300,0,118.23
297525,"B0CFZXCYF8","OUTDOOR RUBBER TOTE: The Perfect Bag for Fashionable time by the Pool, Camping, RV and Beach Trips + BONUS Accessory Pouches",2.5,1745,0,0,86.39
298740,"B0C2Z71GGM","Mesh Beach Bag for Women Large Beach Tote Bag with 9 Pockets for Family Travel Vacation Essentials Toys Collection",2.3,827,100,0,79.87
299442,"B0C1K5M3YH","Neck Gaiter Face Cover Running, Breathable Sun & Wind-proof for Scarf Skiing Fishing Hiking Cycling",2.5,1834,100,0,64.92
297180,"B08HGLXH7D","Aurora Lightweight Denim 3-Piece Spinner Luggage Set, Burgundy",3.7,459,0,0,20.15
297197,"B0BQB4KTKL","Pink Gold Marble Luggage Cover Elastic Washable Stretch Suitcase Protector Anti-Scratch Travel Suitcase Cover for Kid and Adult XL (29-32 inch suitcase)",2.6,895,0,0,88.7
295884,"B0BZSM6X37","Carry On Luggage 20'' Travel Suitcase Rolling Luggage Aluminum Frame PC Hardside with Spinner Wheels & TSA Lock - Smoke White",3.4,2465,0,0,132.64
297880,"B07W7S9489","1 Piece Polyester Luggage Cover Protector Travel Luggage Elastic Cover Washable Suitcase Cover Luggage Sleeve Fits 22-25 Inch Luggage, Black, Size M",3.5,3093,300,0,181.67
294756,"B07Z8SRFPX","Pagosa Indestructible Hardshell Expandable Spinner Luggage, Navy, 2 Piece Set",4.8,255,50,0,90.06
296493,"B08DRX6BTM","Black Leopard 21-Inch Hardside Carry-On Spinner (Black Leopard)",1.2,136,300,0,88.22
298431,"B09QC6MCMN","Skyway Epic 2.0 Hardside 4 Wheel Spinner, Lightweight Suitcase, Unisex, Stylish, Bone, Checked-Large 28-Inch",2.7,991,100,0,90.86
298471,"B08JM7MY8Q","RiToEasysports Single Roller Suitcase Wheels,Mute Luggage Wheels Universal Suitcase Replacement Accessory",4.9,1506,200,0,84.88
299544,"B0CB3PTXB8","Pharmacist Canvas Tote Bag Pharmacy Technician Gifts Pharmacist Travel Bag Rx Pharmacist Graduation Gift",3.2,78,200,0,71.31
298097,"B0BKH1CJYW","International Expandable 4 Wheeled Carry-On Sky Blue",4,318,100,0,116.49
297862,"B09J1L6CJZ","Black Garment Bag 60 Inch Suit Dress Cover for with with a Transparent Clear Panel for Easy Viewing",1.8,121,0,0,9.16
297432,"B0CBHDT246","Portable Folding Luggage-Carry on Luggage 22x14x9 Airline Approved-Perfect For Travel, Business, Travel-Suitcases With Wheels (Blue, 20 inch)",3,1303,100,0,109.81
296991,"B0CBQMTS7D","Women's Spontaneous Medium 4 Wheel Luggage Flaring Rust, 14.25'' x 26'' x 9.5''",2.9,67,50,0,127.63
297435,"B0BR8P96V9","Girls' Weekender Travel Tote Bag with Adjustable Strap and Interior Zipper Pocket - Light & Bright Collection",1.4,103,200,0,62.99
295487,"B0CDBBBCRX","Carry On Suitcase with Wheels, 17 Inch Water Resistant Rolling Suitcase for Travel, Underseat Multi-functional Carry On Suitcase, Portable Work Suitcase for Women Men, Black",4.1,3316,50,0,192.48
295873,"B000PS7K96","Carry On Roller 42L - Carbon, One Size",4.7,2053,100,0,159.76
295782,"B0BN4FNK3W","Star Wars Hardside Spinner Wheel Luggage, Multicolor, Carry-On 20-Inch",1.2,1719,100,0,107.42
297017,"B0C6CGTKQD","3 Piece Luggage Sets, Hard Luggage Sets with TSA Lock, Carry On Luggage with Double Spinner Wheels for Women Men, Travel Suitcase Lightweight (20/24 / 28, Rosegold)",4.2,5038,100,0,180.27
298605,"B0C8THFNPJ","Girls Scout Canvas Tote Bag Gift For Girls Scout Mom Girl Scout Leader Shoulder Bag Scouting Journey Merchandise",1.4,2581,200,0,117.3
297948,"B0B87W9TLB","2 PCS Breast Cancer Awareness Tote Bags 13 x 15 Inch Reusable Pink Ribbon Cancer Support Canvas Tote Bags Breast Cancer Survivor Gifts for Women",4.6,1706,0,0,95.62
296847,"B0BZBVK7X7","Travel Luggage Cover Suitcase Protector, Tropical Beach Palm Tree Washable Elastic Suitcase Baggage Cover Anti-scratch Double-sided with Zipper Closure for Wheeled Suitcase Fits 25-28 Inch Luggage",1.4,70,200,0,111.6
297845,"B0B2KRKFRH","Field Day Hip Pack",2.4,385,300,0,52.6
298146,"B09SJWGX81","Batman Rolling Luggage, Hardshell Suitcase with Wheels, Multicolor, Carry-On 21-Inch",0.4,69,100,0,81.55
296123,"B09Y53B1GZ","AOODA 60"" Trifold Dress Garment Bags for Travel, Gusseted Hanging Clothes Storage Bags with Clear Zipper Pockets for Accessories (Grey)",3.6,4231,50,0,165.12
299460,"B0B3DKL7VV","John Raffio Parks Rec Travel Cosmetic Bag Funny Recreation TV Show Gifts Pills Baby Zipper Pouch (Pills Baby Tote)",4.1,567,0,0,53.26
295535,"B09XJ989DS","Brentwood II 20"" Expandable Spinner Carry-On, Cappuccino, Inch",3.7,1756,100,0,199.04
294856,"B081FT4C2H","Cosmo Hardside Spinner Luggage, Fern Green, Carry-On 20-Inch",1,4428,300,0,160.1
295981,"B0B4R3PLK6","Precursor 3 Piece Softside Checked 8 Wheel Expandable Spinner, Dark Red, 3 Pc Set",4.8,2615,0,0,149.59
297843,"B0C3HC4NN9","Brown Art Flower Suitcase Covers for Luggage 24 inch inch Custom Luggage Cover for Women Men Washable 24 inch Suitcase Protector Luggage Suitcase Protective Cover Accessories",4.8,2506,50,0,139.45
295162,"B0BMFGH6K6","Carry On Luggage with Spinner Wheels,Lightweight Hardside Suitcase PC Hardshell Luggage with TSA Lock,20"" Carry-On(Beige)",4.9,3450,0,0,200.05
294767,"B07BL7JXHV","Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Black, Carry-On 21-Inch",1.9,1488,500,1,147.25
299696,"B0C28JHNYF","Parks Theme Inspired Tote Bag Animal Kingdom Gift Magic World Gift Animal Kingdom Tote Family Vacation Souvenir Gift",3.9,2108,200,0,97.7
298985,"B0C7GL61Y4","Sonographer Gifts for Women Peace Love Scan Tote Bag Ultrasound Technician Gift Radiologist Sonography Tech Gift",4.5,2432,200,0,142.1
298290,"B0CF17JQZ5","Transparent Clear Tote Bag | Stadium Security Approved Clear Tote Bag | Shoulder Crossbody Zipper Bag | Adjustable Strap | Easy to Carry",4.3,2432,50,0,186.13
298832,"B00ARM1KQ4","Low Density Flat Bag",4,1440,50,0,119.38
297821,"B002O01BJS","Whitmor Short Garment Bag/Closet , 62.25"" x 22.5""",0.7,1988,200,0,77.7
295167,"B015DC2W8W","Melbourne Hardside Expandable Spinner Wheel Luggage, Yellow, 2-Piece Set (20/28)",2.9,1021,300,0,121.75
299036,"B08HN2YVZV","Kipling",3.6,589,200,0,55.41
299749,"B084KMTH4V","Wrkshp Structure Tote 18L - Translucent, One Size",4.2,1573,100,0,114.48
295601,"B0C8BNV3KJ","Oxford Compact Carry On - Deep Plum",3.3,5521,50,0,172.05
299178,"B0C5JHVYZH","Travellers 3 Piece Luggage Set Hard Cover Lightweight Suitcase Luggage Set",2.6,805,100,0,94.93
296876,"B0BH6Q6RDG","Queensbury Softside 24"" Expandable Spinner, Rose Gold",2.9,7383,100,0,231.43
295581,"B07NCC36F3","Signal Tote",1.9,3557,50,0,130.09
296490,"B0953475J5","Kids Ride-On Suitcase Carry-On Luggage",0.9,2012,0,0,131.58
296552,"B09SRCXNSF","Loungefly Walt Disney Productions Travel Bag, Amazon Exclusive",4.6,3471,200,0,174.75
296627,"B01FV1IG26","Silverwood Softside T-Cruiser Expandable Spinner Luggage, Gray, Carry-on 21-Inch",2.4,3215,100,0,140.46
297942,"B081JWLWT9","4PC 18-28 Inch Hardshell Luggage ABS Luggages Sets With Spinner Wheels Hard Shell Spinner Carry On Suitcase (Rose Gold, 4 PCS)",3.6,1096,200,0,151.49
295908,"B0C891LNLZ","Luggage Sets, Expandable Suitcase Set 3 Piece Luggage Set, Hardside Luggage with TSA Lock Spinner Wheels YKK zippers, 20in 24in 28in (Wine Red)",4.8,6208,300,0,186.06
