"uid","asin","title","stars","reviews","price","category","isBestSeller","boughtInLastMonth"
294756,"B07Z8SRFPX","Pagosa Indestructible Hardshell Expandable Spinner Luggage, Navy, 2 Piece Set",4.5,2834,146.76,"Luggage","False",50
294757,"B0CCXYY3G8","Luggage Sets,3 Piece Suitcase Set Carry On Luggage with Spinner Wheels,Hardside PP Durable Luggage with TSA Lock",4.4,20,165.98,"Luggage","False",0
294758,"B0BNJGZYGS","Luggage PC+ABS Durable Expandable Hardside Suitcase with Double Spinner Wheels TSA Lock 28-Inch, Wine Red",4.6,467,129.99,"Luggage","False",0
294759,"B0B7KDHCBT","Checked Luggage 24 inch,Medium Luggage with 8 Spinner Wheels,PC Lightweight Hardside Luggage,Travel Suitcase with Bread Design,TSA Lock,Brown,Checked-Medium 24-Inch,60L",4.5,222,159.99,"Luggage","False",0
294760,"B01M0A3BKH","Freeform Hardside Expandable with Double Spinner Wheels, Carry-On 21-Inch, Black",4.6,10643,148.49,"Luggage","False",2000
294761,"B014TMV5YE","Sion Softside Expandable Roller Luggage, Black, Checked-Large 29-Inch",4.5,15399,139.99,"Luggage","True",2000
294762,"B07RS4PK3J","Expandable Midtown Hardside 4-Piece Luggage Travel Set, Rose Gold",4.3,16518,112.34,"Luggage","False",2000
294763,"B0787DL55W","Chicago Hardside Expandable Spinner Luggages, Teal, 20"" Carry-On",4.3,27142,47.35,"Luggage","True",4000
294764,"B07XSBGH1G","Platinum Elite Softside Expandable Carry on Luggage, 8 Wheel Spinner Suitcase, USB Port, Suiter, Men and Women, True Navy Blue, Carry On 21-Inch",4.6,3846,313.99,"Luggage","False",600
294765,"B0BHDGZXW5","Luggage 3 Piece Set Suitcase Spinner Hardshell Lightweight TSA Lock",4.7,25973,169.99,"Luggage","False",1000
294766,"B071VG5N9D","20-Inch Hardside Spinner, Black",4.6,41646,88,"Luggage","False",1000
294767,"B07BL7JXHV","Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Black, Carry-On 21-Inch",4.5,10440,144.49,"Luggage","False",1000
294768,"B013WFNNZI","Omni PC Hardside Expandable Luggage with Spinner Wheels, Carry-On 20-Inch, Black",4.5,23914,114.74,"Luggage","False",1000
294769,"B0BN5G6SM7","Suitcase Set 3 Piece Carry On Hardside Luggage with TSA Lock Spinner Wheels (White, S(20in))",4.6,1137,109.99,"Luggage","False",1000
294770,"B07H8SWKPC","Underseat Carry-On Spinner with USB Port, Purple, One Size",4.5,5725,85.3,"Luggage","False",1000
294771,"B08BX83MDZ","Omni 2 Hardside Expandable Luggage with Spinner Wheels, 3-Piece Set (20/24/28), Nova Teal",4.5,4831,291.1,"Luggage","False",500
294772,"B0B7L8V51M","Luggage Sets Clearance ABS Hardshell 3pcs Luggage Hardside Lightweight Durable Suitcase sets Spinner Wheels Suitcase with TSA Lock (Champage)",4.4,2679,179.99,"Luggage","False",0
294773,"B0CCDPD7WW","Trunk Spinner Luggage Sets 3 Piece (20/25/29)"" PP Hardside Luggage with Double Spinner Wheels, Lightweight Travel Suitcase Set with TSA Lock Upgraded Burst Resistant Zipper, Rose Gold",4.8,8,209.99,"Luggage","False",0
294774,"B0BJ2BPX67","Luggage Sets 4-Piece (16/20/24/28)"" Expandable Suitcases with Wheels PC+ABS Durable Hardside Luggage Clearance OliveGreen",4.4,355,209.99,"Luggage","False",0
294775,"B003SN5VR8","Amsterdam Expandable Rolling Upright Luggage, Gray, 8-Piece Set",4.2,19775,145.83,"Luggage","False",50
294776,"B09Y2DBZGS","Spinners, Black, 22-inch Baseline Essential Carry-On",4.5,241,699,"Luggage","False",100
294777,"B07GDLCQXV","Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Blue",4.5,19918,169.99,"Luggage","False",1000
294778,"B07KVMDRNR","Smart Luggage Cup Holder and USB Port, Navy Blue, 2 Piece Set",4.4,11497,53.99,"Luggage","False",2000
294779,"B00503FUNE","Fashion Softside Upright Luggage Set, Expandable, Black, 2-Piece (14/19)",4.3,63678,33.99,"Luggage","False",3000
294780,"B07N3DTN73","Pop Max Softside Luggage with Spinner Wheels, Teal, 3-Piece Set (21/25/29)",4.4,2020,145,"Luggage","False",400
294781,"B07QW9LMRT","Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Jet Black, Carry on 21-Inch",4.7,1306,229.49,"Luggage","False",400
294782,"B07Q1G9ZPG","Expandable Suitcase PC ABS TSA Luggage 3 Piece Set Lock Spinner Carry on (Teal blue)",4.7,5718,189.99,"Luggage","False",500
294783,"B07FD5MLVB","Convertible Garment Bag with Shoulder Strap, Modoker Carry on Garment Duffel Bag for Men Women - 2 in 1 Hanging Suitcase Suit Travel Bags",4.5,9224,43.99,"Luggage","False",2000
294784,"B0116JXRU8","Suit Carry On Garment Bag for Travel & Business Trips With Shoulder Strap and Rolling Luggage Attachment Point - Black",4.6,9424,59.75,"Luggage","False",1000
294785,"B084T5HMK5","7895 Premium Rolling Garment Bag, Bonus Hanging Feature, Men's and Women's, Carry-on Luggage - Grey Heather",3.9,177,199.99,"Luggage","False",400
294786,"B07QMYLN4J","Stratum XLT Expandable Hardside Luggage with Spinner Wheels, Pink Blush, Checked-Large 28-Inch",4.5,6017,100.98,"Luggage","False",800
294787,"B07V49W6NK","Simple Houseware 43-Inch Heavy Duty Garment Bag w/Pocket for Dresses, Coats",4.3,21563,15.97,"Luggage","True",5000
294788,"B0BTBJKBRJ","2 in 1 Waxed Canvas Leather Suit Luggage Garment Bag with Shoulder Strap for Travel and Business Trips",5,1,124.99,"Luggage","False",0
294789,"B0CBH83L9D","Luggage Sets 3 Piece Suitcases Set ABS Expandable 8 Wheels Spinner Suitcase, TSA Lock Travel Luggage For Man And Women (Black Brown)",4.4,22,155.99,"Luggage","False",0
294790,"B0BRJ1B9W7","Luggage Sets Lightweight Durable Suitcase Double Wheels TSA Lock 3-Piece Set (20/24/28), yellow",4.6,627,153.99,"Luggage","False",0
294791,"B0CDXFCFW8","Luggage Expandable Suitcases With Wheels, Hardside Lightweight Carry-on Luggage 20 inch",4.5,704,98.99,"Luggage","False",0
294792,"B0BXCPZD4C","Luggage Set 4 Piece Luggage Set ABS hardshell TSA Lock Spinner Wheels Luggage Carry on Suitcase (BLACK-BROWN, 6 piece set)",4.7,809,209.99,"Luggage","False",400
294793,"B07K6DKPTS","MATEIN Garment Bag for Travel, Large Carry on Garment Bags with Strap for Business, Waterproof Hanging Suit Luggage Bag for Men Women, Wrinkle Free Suitcase Cover for Shirts Dresses Coats, Black",4.5,2662,45.99,"Luggage","False",2000
294794,"B0C4KFDVF8","Suitcase Set 3 Piece Luggage Set Carry On Travel Luggage TSA Lock Spinner Wheels Hardshell Lightweight Luggage Set(White, 5 piece set)",4.6,397,199.99,"Luggage","False",300
294795,"B083PX1TDL","Grace EXT Carry On Luggage Airline Approved, 20” Expandable Hardside Carry On Suitcase With Wheels, ABS+PC Harshell Spinner Small Luggage with TSA Lock - Blue, 20-Inch Carry-On",4.6,4603,139.99,"Luggage","False",600
294796,"B0BRMZGR9H","Carry On Underseat Multi-functional, 16-inch Underseater Lightweight Overnight Suitcase for Men Women, Black",4.6,741,89.99,"Luggage","False",900
294797,"B01DJLKZBA","Winfield 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Deep Blue",4.5,20483,174.99,"Luggage","False",400
294798,"B07CVKHYR5","Luggage Expandable(only 28"") Suitcase PC+ABS Spinner Built-In TSA lock 20in 24in 28in Carry on (Charcoal., L(28in).)",4.5,13733,119.99,"Luggage","False",600
294799,"B0762VC1XB","Smart Under Seat Carry-On Luggage with USB Charging Port, Black, Underseater 15-Inch",4.6,8159,58.1,"Luggage","False",1000
294800,"B07LFS3LTH","Luggage Expandable(only 28"") Suitcase PC+ABS Spinner 20in 24in 28in Carry on (white grid new, S(20in)_carry on)",4.6,10630,59.99,"Luggage","False",1000
294801,"B07PLKWGTZ","Solyte DLX Softside Expandable Luggage with Spinner Wheels, Midnight Black, Carry-On 20-Inch",4.5,2405,149.85,"Luggage","False",400
294802,"B0BQ3DHV28","Aluminium Frame Hardside Expandable Spinner Wheel Luggage, Built-In TSA lock Carry on Suitcase, with Cup Holder & Phone Holder - - in 18in/20in/24in Sizes",3.8,60,189.99,"Luggage","False",300
294803,"B07MXF4G8K","Hard Shell Carry on Luggage Airline Approved, Carry on Suitcases with Wheels, Lightweight PC Luminous Textured Travel Luggage, TSA Approved, 20 Inch Small Carry-On, Black",4.5,1686,169.99,"Luggage","False",400
294804,"B07DC1DB23","London Hardside Spinner Wheel Luggage, Mint, Carry-On 20-Inch",4.5,10968,53.63,"Luggage","False",1000
294805,"B07BLCB6DS","Maxlite 5 Softside Expandable Upright 2 Wheel Luggage, Lightweight Suitcase, Men and Women, Black, Carry-On 22-Inch",4.5,4246,144.49,"Luggage","False",400
294806,"B07YNKH8BZ","20"" Spinner Carry-On Luggage, Black",4.5,4183,40,"Luggage","False",1000
294807,"B01N0DG6Z5","Platinum Elite Softside Expandable Carry on Luggage, 2 Wheel Upright Suitcase, USB Port, Men and Women, Shadow Black, Carry On 22-Inch",4.3,839,314.49,"Luggage","False",200
294808,"B074VBV39F","Centric Hardside Expandable Luggage with Spinner Wheels, Black, Checked-Large 28-Inch",4.5,6048,169.99,"Luggage","False",300
294809,"B07H515VCZ","Maxporter II 30"" Hardside Spinner Trunk Luggage, Expandable, Navy",4.5,958,299.99,"Luggage","False",100
294810,"B01MQDRPN1","7895 Premium Rolling Garment Bag, Bonus Hanging Feature, Men's and Women's, Carry-on Luggage - Black",4.5,988,149.99,"Luggage","False",100
294811,"B07Z8SCGLJ","Pagosa Indestructible Hardshell Expandable Spinner Luggage, Black, 2 Piece Set",4.5,2834,138.99,"Luggage","False",300
294812,"B00CBT5ISC","Journey Softside Upright Luggage Set,Expandable, Blue, 4-Piece (14/19/24/28)",4.1,7542,85.99,"Luggage","False",500
294813,"B07CGBK1G4","Luggage Expandable Suitcase PC+ABS 3 Piece Set with TSA Lock Spinner 20in24in28in",4.6,9472,169.99,"Luggage","False",400
294814,"B07QK971DN","Carry-on Garment Bag Large Duffel Bag Suit Travel Bag Weekend Bag Flight Bag with Shoe Pouch for Men Women (Black) Age: Over 6 Years Old",4.3,2775,43.98,"Luggage","False",1000
294815,"B0B9K44XTS","Luggage Sets Expandable Lightweight Suitcases with Wheels PC+ABS Durable Travel Luggage TSA Lock Navy Blue 4pcs",4.4,355,209.99,"Luggage","False",200
294820,"B06XVSR3JZ","Luggage 4 Piece Set Suitcase Spinner TSA Lock Softshell lightweight (blue+sliver)",4.5,5187,169.99,"Luggage","False",300
294821,"B07BKKDNDQ","Maxlite 5 Softside Lightweight Carry-On Upright 2 Wheel Rolling Garment Bag, Men and Women, Black, 22-Inch",4.4,547,186.99,"Luggage","False",200
294822,"B01M7NTLPB","Buckingham 44-Inch Wheeled Garment Bag, Black",4.3,1346,196.07,"Luggage","False",200
294823,"B09Y282JQD","Uprights, Black, 22-inch Baseline Essential Carry-On",4.4,62,659,"Luggage","False",50
294824,"B07MX5HQHP","Alpha 3 Extended Trip 4-Wheeled Garment Bag with TSA Lock - Stores Suits, Coats, Dresses, and Shoes - Black",4.8,14,1350,"Luggage","False",0
294825,"B00BL9XB28","Melbourne Hardside Expandable Spinner Wheel Luggage, Blue, Carry-On 20-Inch",4.5,3701,59.99,"Luggage","False",2000
294826,"B01HIATG6I","Chatelet Hard+ Hardside Luggage with Spinner Wheels, Champagne White, Checked-Large 28 Inch, with Brake",4.6,2537,259.6,"Luggage","False",100
294827,"B015DC2ST0","Melbourne Hardside Expandable Spinner Wheel Luggage, Charcoal, 2-Piece Set (20/28)",4.4,2865,119.99,"Luggage","False",800
294828,"B07QXD3J9G","Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Jet Black, Carry on 20-Inch",4.5,333,323.99,"Luggage","False",100
294829,"B0BNF5TRHY","Premium Rolling Garment Bag with Multiple Pockets, Black, 45-Inch",4.5,40,209.99,"Luggage","False",200
294830,"B081JDHNX1","Centric 2 Hardside Expandable Luggage with Spinners, True Navy, 3-Piece Set (20/24/28)",4.5,2820,399.92,"Luggage","False",100
294831,"B0C4KMQBWN","Luggage Carry On Luggage Underseat Luggage Suitcase Softside Wheeled Luggage Lightweight Rolling Travel Bag Underseater (Black, Carry-On 16-Inch)",4.4,124,79.99,"Luggage","False",700
294836,"B07XVZPTD8","Women's Mobile Solution Spinner Mobile Office ,Telescoping Handles, Black",4.5,390,139,"Luggage","False",200
294837,"B07PY38F5H","Garment Bags for Travel, Large Suit Travel Bag for Men Women with Shoulder Strap, Mancro Convertible Carry On Garment Bag Gift for Business Trip - 2 in 1 Hanging Suitcase Luggage Bag for Travel, Black",4.4,4723,39.99,"Luggage","False",1000
294838,"B07BKKMZWN","Maxlite 5 Softside Lightweight Underseat Carry-On Travel Tote, Overnight Weekender Bag, Men and Women, 18 inch",4.7,3941,84.99,"Luggage","False",400
294839,"B08KYG83TG","4010 Softside Luggage with Spinner Wheels, Black, Carry-On 18-Inch",4.5,709,105.46,"Luggage","False",500
294840,"B003VB9FCO","Rio Rugged Fabric Expandable Carry-on Luggage, Purple, 2 Wheel",4.3,26187,69.99,"Luggage","False",800
294841,"B09QCVWZGR","Limoomil Heavy Duty Waterproof Garment Bag for Travel, Tear Resistance Suit Bag for Men Travel for Suits, Tuxedos, Coats, Uniform. 42 inch, Darkgrey",4.5,723,23.99,"Luggage","False",1000
294842,"B09R2KB32B","Chatelet Hardside 2.0 Luggage with Spinner Wheels, Angora, Carry-on 21 Inch",4.5,437,254.83,"Luggage","False",100
294843,"B0BB6M3Z74","Expandable Foldable Luggage Bag Suitcase Collapsible Rolling Travel Luggage Bag Duffel Bag for Men Women Lightweight Suitcases",4.3,2360,79.99,"Luggage","False",400
294844,"B09R2NHZGJ","Helium DLX Carryon Garment Bag with Spinner Wheels, Black, Carry on 20 Inch",4.2,22,201,"Luggage","False",100
294845,"B07DMBG7CX","Xpedition 30 Inch Multi-Pocket Upright Rolling Duffel Bag",4.3,6046,42,"Luggage","False",300
294846,"B0BHCB2342","Underseat Carry On Luggage Suitcase Softside Lightweight Rolling Travel Bag Spinner Suitcase Compact Upright 4 Dual Wheel Bag",4.5,491,79.99,"Luggage","False",600
294847,"B09Q16LQDR","Carry On Luggage, Suitcase with Wheels & Front Opening, 20in Spinner Luggage Built in TSA Aluminum Frame PC Hardside Rolling Suitcases Travel Bag - Ivory white",4.3,492,175.99,"Luggage","False",200
294849,"B0BTNRBD37","Waxed Canvas Leather Suit Luggage Garment Bag with Shoulder Strap for Work and Business",4,1,84.99,"Luggage","False",0
294851,"B0B1NZM4ZS","2 in 1 Canvas Leather Suit Luggage Garment Bag with Shoulder Strap for Travel and Business Trips (Black)",4.1,18,109.99,"Luggage","False",0
294852,"B00GI3572E","Women's Spinner Mobile Office, Black, One Size",4.6,2042,164.99,"Luggage","False",200
