"","score","rank","ethnicity","gender","language","age","cls_level","bty_avg"
"1",4.7,"tenure track","minority","female","english",36,"upper",5
"2",4.1,"tenure track","minority","female","english",36,"upper",5
"3",3.9,"tenure track","minority","female","english",36,"upper",5
"4",4.8,"tenure track","minority","female","english",36,"upper",5
"5",4.6,"tenured","not minority","male","english",59,"upper",3
"6",4.3,"tenured","not minority","male","english",59,"upper",3
"7",2.8,"tenured","not minority","male","english",59,"upper",3
"8",4.1,"tenured","not minority","male","english",51,"upper",3.333
"9",3.4,"tenured","not minority","male","english",51,"upper",3.333
"10",4.5,"tenured","not minority","female","english",40,"upper",3.167
"11",3.8,"tenured","not minority","female","english",40,"upper",3.167
"12",4.5,"tenured","not minority","female","english",40,"upper",3.167
"13",4.6,"tenured","not minority","female","english",40,"upper",3.167
"14",3.9,"tenured","not minority","female","english",40,"upper",3.167
"15",3.9,"tenured","not minority","female","english",40,"upper",3.167
"16",4.3,"tenured","not minority","female","english",40,"upper",3.167
"17",4.5,"tenured","not minority","female","english",40,"upper",3.167
"18",4.8,"tenure track","not minority","female","english",31,"upper",7.333
"19",4.6,"tenure track","not minority","female","english",31,"upper",7.333
"20",4.6,"tenure track","not minority","female","english",31,"upper",7.333
"21",4.9,"tenure track","not minority","female","english",31,"upper",7.333
"22",4.6,"tenure track","not minority","female","english",31,"upper",7.333
"23",4.5,"tenure track","not minority","female","english",31,"upper",7.333
"24",4.4,"tenured","not minority","male","english",62,"upper",5.5
"25",4.6,"tenured","not minority","male","english",62,"upper",5.5
"26",4.7,"tenured","not minority","male","english",62,"upper",5.5
"27",4.5,"tenured","not minority","male","english",62,"upper",5.5
"28",4.8,"tenured","not minority","male","english",62,"upper",5.5
"29",4.9,"tenured","not minority","male","english",62,"upper",5.5
"30",4.5,"tenured","not minority","male","english",62,"upper",5.5
"31",4.4,"tenure track","not minority","female","english",33,"upper",4.167
"32",4.3,"tenure track","not minority","female","english",33,"upper",4.167
"33",4.1,"tenure track","not minority","female","english",33,"upper",4.167
"34",4.2,"tenure track","not minority","female","english",33,"upper",4.167
"35",3.5,"tenure track","not minority","female","english",33,"upper",4.167
"36",3.4,"tenured","not minority","female","english",51,"upper",4
"37",4.5,"tenured","not minority","female","english",51,"upper",4
"38",4.4,"tenured","not minority","female","english",51,"upper",4
"39",4.4,"tenured","not minority","female","english",51,"upper",4
"40",2.5,"tenured","not minority","female","english",51,"lower",4
"41",4.3,"tenured","not minority","female","english",51,"upper",4
"42",4.5,"tenured","not minority","female","english",51,"upper",4
"43",4.8,"tenure track","not minority","female","english",33,"upper",4.667
"44",4.8,"tenure track","not minority","female","english",33,"upper",4.667
"45",4.4,"tenure track","not minority","female","english",33,"upper",4.667
"46",4.7,"tenure track","not minority","female","english",33,"upper",4.667
"47",4.4,"tenure track","not minority","female","english",33,"upper",4.667
"48",4.7,"tenure track","not minority","female","english",33,"upper",4.667
"49",4.5,"tenure track","not minority","female","english",33,"upper",4.667
"50",4,"teaching","not minority","male","english",47,"upper",5.5
"51",4.3,"teaching","not minority","male","english",47,"upper",5.5
"52",4.4,"teaching","not minority","male","english",47,"upper",5.5
"53",4.5,"teaching","not minority","male","english",47,"upper",5.5
"54",5,"teaching","not minority","male","english",47,"lower",5.5
"55",4.9,"teaching","not minority","male","english",47,"lower",5.5
"56",4.6,"teaching","not minority","male","english",47,"upper",5.5
"57",5,"teaching","not minority","male","english",47,"lower",5.5
"58",4.7,"teaching","not minority","male","english",47,"upper",5.5
"59",5,"teaching","not minority","male","english",47,"lower",5.5
"60",3.6,"tenure track","minority","male","non-english",35,"upper",4.833
"61",3.7,"tenure track","minority","male","non-english",35,"upper",4.833
"62",4.3,"tenure track","minority","male","non-english",35,"upper",4.833
"63",4.1,"teaching","not minority","male","english",37,"upper",4.333
"64",4.2,"teaching","not minority","male","english",37,"upper",4.333
"65",4.7,"teaching","not minority","male","english",37,"upper",4.333
"66",4.7,"teaching","not minority","male","english",37,"upper",4.333
"67",3.5,"teaching","not minority","male","english",37,"upper",4.333
"68",4.1,"tenured","not minority","male","english",42,"upper",4.833
"69",4.2,"tenured","not minority","male","english",42,"upper",4.833
"70",4,"tenured","not minority","male","english",42,"upper",4.833
"71",4,"tenured","not minority","male","english",42,"upper",4.833
"72",3.9,"tenured","not minority","male","english",42,"upper",4.833
"73",4.4,"tenured","not minority","male","english",42,"upper",4.833
"74",3.8,"tenured","not minority","male","english",42,"upper",4.833
"75",3.5,"tenured","not minority","male","non-english",49,"upper",4
"76",4.2,"tenured","not minority","male","non-english",49,"upper",4
"77",3.5,"tenured","not minority","male","non-english",49,"upper",4
"78",3.6,"tenured","not minority","male","non-english",49,"upper",4
"79",2.9,"tenure track","not minority","female","english",37,"upper",5.5
"80",3.3,"tenure track","not minority","female","english",37,"upper",5.5
"81",3.3,"tenure track","not minority","female","english",37,"upper",5.5
"82",3.2,"tenure track","not minority","female","english",37,"upper",5.5
"83",4.6,"tenured","not minority","male","english",45,"upper",4.167
"84",4.2,"tenured","not minority","male","english",45,"lower",4.167
"85",4.3,"tenured","not minority","male","english",45,"lower",4.167
"86",4.4,"tenured","not minority","male","english",45,"upper",4.167
"87",4.1,"tenured","not minority","male","english",45,"upper",4.167
"88",4.6,"tenured","not minority","male","english",45,"lower",4.167
"89",4.4,"teaching","not minority","female","english",56,"upper",2.5
"90",4.8,"teaching","not minority","female","english",56,"upper",2.5
"91",4.3,"teaching","not minority","female","english",56,"upper",2.5
"92",3.6,"teaching","not minority","female","english",56,"upper",2.5
"93",4.3,"teaching","not minority","female","english",56,"upper",2.5
"94",4,"teaching","not minority","male","english",48,"lower",4.333
"95",4.2,"teaching","not minority","male","english",48,"upper",4.333
"96",4.1,"teaching","not minority","male","english",48,"upper",4.333
"97",4.1,"teaching","not minority","male","english",48,"lower",4.333
"98",4.4,"teaching","not minority","male","english",48,"lower",4.333
"99",4.3,"teaching","not minority","male","english",48,"upper",4.333
"100",4.4,"teaching","not minority","male","english",48,"lower",4.333
"101",4.4,"teaching","not minority","male","english",48,"lower",4.333
"102",4.9,"tenured","not minority","female","english",46,"upper",4.333
"103",5,"tenured","not minority","female","english",46,"lower",4.333
"104",4.4,"tenured","not minority","female","english",46,"upper",4.333
"105",4.8,"tenured","not minority","female","english",46,"upper",4.333
"106",4.9,"tenured","not minority","female","english",46,"upper",4.333
"107",4.3,"tenured","not minority","female","english",46,"upper",4.333
"108",5,"tenured","not minority","female","english",46,"lower",4.333
"109",4.7,"tenured","not minority","female","english",46,"upper",4.333
"110",4.5,"tenured","not minority","female","english",46,"lower",4.333
"111",3.5,"teaching","not minority","female","english",57,"upper",4.333
"112",3.9,"teaching","not minority","female","english",57,"upper",4.333
"113",4,"teaching","not minority","female","english",57,"upper",4.333
"114",4,"teaching","not minority","female","english",57,"upper",4.333
"115",3.7,"teaching","not minority","female","english",57,"upper",4.333
"116",3.4,"teaching","not minority","female","english",57,"upper",4.333
"117",3.3,"teaching","not minority","female","english",57,"upper",4.333
"118",3.8,"teaching","not minority","female","english",57,"upper",4.333
"119",3.9,"teaching","not minority","female","english",57,"upper",4.333
"120",3.4,"teaching","not minority","female","english",57,"upper",4.333
"121",3.7,"teaching","not minority","female","english",52,"upper",4.833
"122",4.1,"teaching","not minority","female","english",52,"upper",4.833
"123",3.7,"teaching","not minority","female","english",52,"upper",4.833
"124",3.5,"teaching","not minority","female","english",52,"upper",4.833
"125",3.5,"teaching","not minority","female","english",52,"upper",4.833
"126",4.4,"teaching","not minority","female","english",52,"upper",4.833
"127",3.4,"tenure track","minority","female","non-english",29,"upper",2.833
"128",4.3,"tenured","not minority","male","english",62,"upper",3
"129",3.7,"tenured","not minority","male","english",62,"lower",3
"130",4.7,"tenured","not minority","male","english",62,"upper",3
"131",3.9,"tenured","not minority","male","english",62,"lower",3
"132",3.6,"tenured","not minority","male","english",62,"lower",3
"133",4.5,"tenured","not minority","male","english",64,"upper",4.167
"134",4.5,"tenured","not minority","male","english",64,"upper",4.167
"135",4.8,"tenured","not minority","male","english",64,"upper",4.167
"136",4.8,"tenured","not minority","male","english",64,"upper",4.167
"137",4.7,"tenured","not minority","male","english",64,"upper",4.167
"138",4.5,"tenured","not minority","male","english",64,"upper",4.167
"139",4.3,"tenured","not minority","male","english",64,"upper",4.167
"140",4.8,"tenure track","not minority","female","english",34,"upper",7.833
"141",4.1,"tenure track","not minority","female","english",34,"upper",7.833
"142",4.4,"tenured","not minority","male","english",58,"upper",3.833
"143",4.3,"tenured","not minority","male","english",58,"upper",3.833
"144",3.6,"tenured","not minority","male","english",58,"lower",3.833
"145",4.5,"tenured","not minority","male","english",58,"upper",3.833
"146",4.3,"tenured","not minority","male","english",58,"lower",3.833
"147",4.4,"tenured","minority","male","non-english",52,"upper",4.833
"148",4.7,"tenured","minority","male","non-english",52,"upper",4.833
"149",4.8,"tenured","minority","male","non-english",52,"upper",4.833
"150",3.5,"tenured","minority","male","non-english",52,"upper",4.833
"151",3.8,"tenured","minority","male","non-english",52,"upper",4.833
"152",3.6,"tenured","minority","male","non-english",52,"upper",4.833
"153",4.2,"tenured","minority","male","non-english",52,"upper",4.833
"154",3.6,"tenured","not minority","male","english",73,"upper",3
"155",4.4,"tenured","not minority","male","english",73,"upper",3
"156",3.7,"tenured","not minority","male","english",73,"upper",3
"157",4.3,"tenured","not minority","male","english",73,"upper",3
"158",4.6,"tenured","not minority","male","english",70,"upper",3
"159",4.6,"tenured","not minority","male","english",70,"upper",3
"160",4.1,"tenured","not minority","male","english",70,"upper",3
"161",3.6,"tenured","not minority","male","english",70,"upper",3
"162",2.3,"tenure track","not minority","female","english",41,"upper",5.167
"163",4.3,"teaching","not minority","male","english",63,"upper",4.333
"164",4.4,"teaching","not minority","male","english",63,"upper",4.333
"165",3.6,"teaching","not minority","male","english",63,"upper",4.333
"166",4.4,"teaching","not minority","male","english",63,"upper",4.333
"167",3.9,"teaching","not minority","male","english",63,"upper",4.333
"168",3.8,"teaching","not minority","male","english",63,"upper",4.333
"169",3.4,"teaching","not minority","male","english",63,"upper",4.333
"170",4.9,"tenured","not minority","male","english",47,"upper",2.667
"171",4.1,"tenured","not minority","male","english",47,"upper",2.667
"172",3.2,"tenured","not minority","male","english",47,"upper",2.667
"173",4.2,"tenured","not minority","male","english",39,"lower",5.5
"174",3.9,"tenured","not minority","male","english",39,"lower",5.5
"175",4.9,"tenured","not minority","male","english",39,"upper",5.5
"176",4.7,"tenured","not minority","male","english",39,"upper",5.5
"177",4.4,"tenured","not minority","male","english",39,"upper",5.5
"178",4.2,"tenure track","minority","female","english",47,"lower",4.333
"179",4,"tenure track","minority","female","english",47,"upper",4.333
"180",4.4,"tenure track","minority","female","english",47,"lower",4.333
"181",3.9,"tenure track","minority","female","english",47,"lower",4.333
"182",4.4,"tenure track","minority","female","english",47,"upper",4.333
"183",3,"tenure track","minority","female","english",47,"lower",4.333
"184",3.5,"tenure track","minority","female","english",47,"lower",4.333
"185",2.8,"tenure track","minority","female","english",47,"lower",4.333
"186",4.6,"tenure track","minority","female","english",47,"lower",4.333
"187",4.3,"tenure track","minority","female","english",47,"lower",4.333
"188",3.4,"tenure track","minority","female","english",47,"lower",4.333
"189",3,"tenure track","minority","female","english",47,"lower",4.333
"190",4.2,"tenure track","minority","female","english",47,"lower",4.333
"191",4.3,"tenured","not minority","male","english",54,"upper",2.333
"192",4.1,"tenured","not minority","male","english",54,"upper",2.333
"193",4.6,"tenured","not minority","male","english",54,"upper",2.333
"194",3.9,"tenured","minority","female","english",44,"upper",6.5
"195",3.5,"tenured","minority","female","english",44,"upper",6.5
"196",4,"tenured","minority","female","english",44,"upper",6.5
"197",4,"tenured","minority","female","english",44,"upper",6.5
"198",3.9,"tenured","minority","male","english",47,"upper",2.333
"199",3.3,"tenured","minority","male","english",47,"upper",2.333
"200",4,"tenured","minority","male","english",47,"upper",2.333
"201",3.8,"tenured","minority","male","english",47,"upper",2.333
"202",4.2,"tenured","minority","male","english",47,"upper",2.333
"203",4,"tenured","minority","male","english",47,"upper",2.333
"204",3.8,"tenured","minority","male","english",47,"upper",2.333
"205",3.3,"tenured","minority","male","english",47,"upper",2.333
"206",4.1,"tenured","not minority","male","english",62,"upper",3
"207",4.7,"tenured","not minority","male","english",62,"upper",3
"208",4.4,"tenured","not minority","male","english",62,"upper",3
"209",4.8,"tenured","not minority","male","english",60,"upper",3.667
"210",4.8,"tenured","not minority","male","english",60,"upper",3.667
"211",4.6,"tenured","not minority","male","english",60,"upper",3.667
"212",4.6,"tenured","not minority","male","english",60,"upper",3.667
"213",4.8,"tenured","not minority","male","english",60,"upper",3.667
"214",4.4,"tenured","not minority","male","english",60,"upper",3.667
"215",4.7,"tenured","not minority","male","english",60,"upper",3.667
"216",4.7,"tenured","not minority","male","english",60,"lower",3.667
"217",3.3,"tenure track","not minority","male","english",37,"upper",6.167
"218",4.4,"tenure track","not minority","male","english",42,"upper",4
"219",4.3,"tenure track","not minority","male","english",42,"upper",4
"220",4.9,"tenure track","not minority","male","english",42,"upper",4
"221",4.4,"tenure track","not minority","male","english",42,"upper",4
"222",4.7,"tenure track","not minority","male","english",42,"upper",4
"223",4.3,"tenured","not minority","male","english",35,"upper",4.833
"224",4.8,"tenured","not minority","male","english",35,"lower",4.833
"225",4.5,"tenured","not minority","male","english",35,"upper",4.833
"226",4.7,"tenured","not minority","male","english",35,"lower",4.833
"227",3.3,"teaching","not minority","female","english",39,"lower",8.167
"228",4.7,"teaching","not minority","female","english",39,"upper",8.167
"229",4.6,"teaching","not minority","female","english",39,"upper",8.167
"230",3.6,"teaching","not minority","female","english",39,"lower",8.167
"231",4,"tenured","not minority","male","english",49,"upper",6.5
"232",4.1,"tenured","not minority","male","english",49,"upper",6.5
"233",4,"tenured","not minority","male","english",49,"upper",6.5
"234",4.5,"tenured","not minority","male","english",61,"lower",4.833
"235",4.6,"tenured","not minority","male","english",61,"upper",4.833
"236",4.8,"tenured","not minority","male","english",61,"lower",4.833
"237",4.6,"tenured","not minority","male","english",61,"upper",4.833
"238",4.9,"tenure track","not minority","male","english",33,"upper",7
"239",3.1,"tenure track","not minority","male","english",33,"upper",7
"240",3.7,"tenure track","not minority","male","english",33,"upper",7
"241",3.7,"tenured","not minority","female","english",58,"upper",4.667
"242",3.9,"tenured","not minority","female","english",56,"upper",3.833
"243",3.9,"tenured","not minority","female","english",56,"upper",3.833
"244",3.2,"tenured","not minority","female","english",56,"upper",3.833
"245",4.4,"teaching","not minority","female","english",50,"lower",3.167
"246",4.2,"teaching","not minority","female","english",50,"lower",3.167
"247",4.7,"teaching","not minority","female","english",50,"lower",3.167
"248",3.9,"teaching","not minority","female","english",50,"upper",3.167
"249",3.6,"teaching","not minority","female","english",50,"upper",3.167
"250",3.4,"teaching","not minority","female","english",50,"upper",3.167
"251",4.4,"teaching","not minority","female","english",50,"upper",3.167
"252",4.4,"tenured","not minority","male","english",52,"upper",3.167
"253",4.1,"tenured","not minority","male","english",52,"upper",3.167
"254",3.6,"tenured","not minority","male","english",52,"upper",3.167
"255",3.5,"tenured","not minority","male","english",52,"upper",3.167
"256",4.1,"tenured","not minority","male","english",52,"upper",3.167
"257",3.8,"tenured","not minority","male","english",52,"upper",3.167
"258",4,"tenured","not minority","male","english",52,"upper",3.167
"259",4.8,"tenured","not minority","male","english",52,"upper",3.167
"260",4.2,"tenured","not minority","male","english",52,"upper",3.167
"261",4.6,"tenured","not minority","male","english",52,"upper",3.167
"262",4.3,"tenured","not minority","male","english",52,"upper",3.167
"263",4.8,"tenured","not minority","male","english",52,"upper",3.167
"264",3.8,"tenured","not minority","male","english",52,"upper",3.167
"265",4.5,"tenure track","not minority","female","english",33,"upper",5.833
"266",4.9,"tenure track","not minority","female","english",33,"upper",5.833
"267",4.9,"tenure track","not minority","female","english",33,"upper",5.833
"268",4.8,"tenure track","not minority","female","english",33,"upper",5.833
"269",4.7,"tenure track","not minority","female","english",33,"upper",5.833
"270",4.6,"tenure track","not minority","female","english",33,"upper",5.833
"271",4.3,"tenured","not minority","male","english",57,"upper",5.667
"272",4.4,"tenured","not minority","male","english",57,"upper",5.667
"273",4.5,"tenured","not minority","male","english",57,"upper",5.667
"274",4.2,"tenured","not minority","male","english",57,"upper",5.667
"275",4.8,"tenured","not minority","female","english",38,"upper",6.5
"276",4.6,"tenured","not minority","female","english",38,"lower",6.5
"277",4.9,"tenured","not minority","female","english",38,"upper",6.5
"278",4.8,"tenured","not minority","female","english",38,"upper",6.5
"279",4.8,"tenured","not minority","female","english",38,"upper",6.5
"280",4.6,"tenured","not minority","female","english",38,"lower",6.5
"281",4.7,"tenured","not minority","female","english",38,"upper",6.5
"282",4.1,"tenure track","not minority","female","english",34,"lower",1.667
"283",3.8,"tenure track","not minority","female","english",34,"lower",1.667
"284",4,"tenure track","not minority","female","english",34,"lower",1.667
"285",4.1,"tenure track","not minority","female","english",34,"upper",1.667
