"locality_identifier","household_identifier","treatment_locality","promotion_locality","enrolled","enrolled_rp","poverty_index","round","health_expenditures","age_hh","age_sp","educ_hh","educ_sp","female_hh","indigenous","hhsize","dirtfloor","bathroom","land","hospital_distance","hospital"
26,5,1,1,1,1,55.950542,0,15.185455,24,23,0,6,0,0,4,1,0,1,124.819966250118,0
26,5,1,1,1,1,55.950542,1,19.580902,25,24,0,6,0,0,4,1,0,1,124.819966250118,0
26,11,1,1,1,0,46.058731,0,13.076257,30,26,4,0,0,0,6,1,0,2,124.819966250118,0
26,11,1,1,1,0,46.058731,1,2.3988545,31,27,4,0,0,0,6,1,0,2,124.819966250118,1
26,13,1,1,1,0,54.095825,1,0,59,57,0,0,0,0,6,1,0,4,124.819966250118,1
26,13,1,1,1,0,54.095825,0,15.286353,58,56,0,0,0,0,6,1,0,4,124.819966250118,0
26,16,1,1,1,1,56.9034,1,20.026909,36,25,3,0,0,0,7,1,0,2,124.819966250118,0
26,16,1,1,1,1,56.9034,0,11.311761,35,24,3,0,0,0,7,1,0,2,124.819966250118,0
26,21,1,1,1,1,46.90881,0,11.223912,37,35,0,0,0,0,7,1,0,2,124.819966250118,0
26,21,1,1,1,1,46.90881,1,16.664686,39,36,0,0,0,0,7,1,0,2,124.819966250118,0
26,22,1,1,1,1,48.183926,0,8.8769245,34,41,0,2,1,0,9,1,0,1,124.819966250118,0
26,22,1,1,1,1,48.183926,1,0.11554642,35,41,0,2,1,0,9,1,0,1,124.819966250118,0
26,23,1,1,1,0,49.69088,1,0,31,30,0,6,0,0,7,0,0,1,124.819966250118,0
26,23,1,1,1,0,49.69088,0,12.685817,30,29,0,6,0,0,7,0,0,1,124.819966250118,0
26,25,1,1,1,1,57.109737,1,17.223698,58,57,3,0,0,0,9,0,0,4,124.819966250118,0
26,25,1,1,1,1,57.109737,0,12.668089,57,56,3,0,0,0,9,0,0,4,124.819966250118,0
26,27,1,1,1,1,49.69088,0,10.580613,24,28,2,6,0,0,7,1,0,2,124.819966250118,0
26,27,1,1,1,1,49.69088,1,1.2849009,25,29,2,6,0,0,7,1,0,2,124.819966250118,0
26,28,1,1,1,1,52.62751,0,7.2307086,40,36,0,2,0,0,9,1,0,1,124.819966250118,0
26,28,1,1,1,1,52.62751,1,6.4174824,40,37,0,2,0,0,9,1,0,1,124.819966250118,0
