cust_id,deny,pirat,hirat,lvrat,chist,mhist,phist,unemp,selfemp,insurance,condomin,race,single,hschool
1,1,0.221000004,0.221000004,0.8,5,2,no,3.900000095,no,no,no,White,no,yes
2,1,0.265,0.265,0.921875,2,2,no,3.200000048,no,no,no,White,yes,yes
3,1,0.372000008,0.247999992,0.92039801,1,2,no,3.200000048,no,no,no,White,no,yes
4,1,0.32,0.25,0.860465116,1,2,no,4.300000191,no,no,no,White,no,yes
5,1,0.36,0.35,0.6,1,1,no,3.200000048,no,no,no,White,no,yes
6,1,0.24,0.17,0.510526316,1,1,no,3.900000095,no,no,no,White,no,yes
7,1,0.35,0.29,0.746666667,1,2,no,3.900000095,no,no,yes,White,yes,yes
8,1,0.28,0.22,0.85,2,2,no,1.799999952,no,no,no,White,no,yes
9,0,0.31,0.24,0.897260274,2,2,no,3.099999905,no,yes,no,White,no,yes
10,1,0.18,0.17,0.358744395,2,1,no,3.900000095,no,no,no,White,yes,yes
11,1,0.28,0.27,0.223880597,1,2,no,3.099999905,no,no,yes,White,yes,yes
12,1,0.31,0.3,0.688888889,1,2,no,4.300000191,no,no,no,Hispanic,yes,yes
13,0,0.28,0.27,0.537634409,1,2,no,4.300000191,no,yes,no,White,no,yes
14,1,0.36,0.34,0.649438202,1,1,no,10.60000038,no,no,no,White,no,yes
15,1,0.18,0.15,0.3625,1,1,no,3.200000048,no,no,no,White,no,yes
16,1,0.36,0.27,0.833333333,2,1,no,3.200000048,no,no,no,White,no,yes
17,1,0.23,0.22,0.642857143,1,1,no,3.200000048,no,no,no,White,no,yes
18,1,0.32,0.27,0.4375,2,1,no,3.200000048,no,no,no,White,no,yes
19,1,0.31,0.29,0.794444444,2,2,no,4.300000191,no,no,no,White,no,yes
20,1,0.37,0.28,0.8,2,2,no,3.099999905,no,no,no,White,yes,yes
21,0,0.37,0.22,0.896341463,6,1,yes,3.099999905,no,yes,no,White,no,yes
22,1,0.39,0.31,0.878571429,3,2,no,5.300000191,no,no,no,White,no,yes
23,1,0.32,0.32,0.772058824,1,2,no,10.60000038,no,no,no,White,yes,yes
24,1,0.39,0.33,0.901023891,1,2,no,3.200000048,no,no,no,White,no,yes
25,1,0.33,0.31,0.65437788,1,2,no,3.900000095,no,no,no,White,yes,yes
26,1,0.28,0.13,0.62962963,1,2,no,3.200000048,no,no,yes,White,yes,yes
27,1,0.37,0.28,0.894736842,1,2,no,1.799999952,no,no,yes,Hispanic,yes,yes
28,1,0.3,0.25,0.485436893,1,2,no,3.200000048,no,no,no,White,yes,yes
29,1,0.31,0.29,0.949367089,1,2,no,3.900000095,no,no,no,White,no,yes
30,1,0.26,0.21,0.891089109,1,2,no,1.799999952,no,no,no,African-American,yes,yes
31,1,0.36,0.29,0.863309353,1,2,no,4.300000191,no,no,no,White,yes,yes
32,1,0.37,0.2,0.714285714,5,1,no,4.300000191,no,no,no,Hispanic,no,yes
33,1,0.35,0.26,0.751219512,3,2,no,3.599999905,no,no,no,White,yes,yes
34,1,0.37,0.26,0.90212766,1,2,no,2,no,no,no,White,yes,yes
35,1,0.34,0.28,0.847058824,1,2,no,4.300000191,no,no,no,White,no,yes
36,1,0.38,0.28,0.473684211,1,2,no,3.900000095,no,no,yes,White,no,yes
37,1,0.44,0.31,0.687969925,1,1,no,3.099999905,no,no,no,White,no,yes
38,1,0.35,0.22,0.897810219,2,1,no,4.300000191,no,no,no,African-American,no,yes
39,1,0.38,0.28,0.880851064,1,2,no,3.099999905,no,no,no,White,no,yes
40,1,0.37,0.34,0.919753086,1,2,no,3.099999905,no,no,no,White,yes,yes
41,1,0.37,0.28,0.936363636,1,2,no,3.900000095,no,no,no,White,no,yes
42,1,0.41,0.1,0.642857143,1,1,no,2,no,no,yes,White,no,yes
43,0,0.35,0.34,1.47826087,1,2,no,3.200000048,no,yes,no,White,no,yes
44,0,0.41,0.3,0.72,3,4,no,3.200000048,no,no,no,White,no,yes
45,1,0.34,0.28,0.677966102,6,2,yes,3.099999905,no,no,no,White,yes,yes
46,1,0.29,0.19,0.9,2,2,no,3.200000048,no,no,no,White,no,yes
47,0,0.27,0.26,0.8,6,2,yes,3.200000048,no,no,no,White,no,yes
48,1,0.37,0.27,0.853846154,1,2,no,3.200000048,no,no,no,African-American,yes,yes
49,0,0.34,0.3,0.741935484,1,2,no,3.900000095,yes,no,no,White,no,yes
50,1,0.36,0.15,0.675675676,2,1,no,3.099999905,no,no,no,White,yes,yes
51,1,0.34,0.32,0.643678161,5,3,no,3.200000048,no,no,no,Hispanic,yes,yes
52,1,0.27,0.21,0.941176471,1,2,no,2,no,no,no,White,no,yes
53,1,0.16,0.08,0.732484076,1,1,no,3.200000048,no,no,no,White,yes,yes
54,1,0.39,0.28,0.913580247,1,2,no,3.099999905,no,no,no,Hispanic,yes,yes
55,1,0.36,0.26,0.207142857,5,2,no,3.200000048,no,no,no,White,no,yes
56,1,0.313999996,0.265,0.93442623,1,2,yes,3.200000048,no,no,no,White,no,yes
57,1,0.34,0.28,0.903448276,1,2,yes,3.900000095,no,no,no,White,no,yes
58,1,0.332000008,0.281000004,0.902439024,2,2,no,10.60000038,no,no,no,White,yes,yes
59,1,0.33,0.33,0.636942675,1,1,no,4.300000191,yes,no,no,White,yes,yes
60,1,0.399000015,0.272000008,0.769230769,1,2,no,10.60000038,no,no,yes,White,yes,yes
61,1,0.342000008,0.322000008,0.75,1,2,no,3.200000048,no,no,no,White,no,yes
62,1,0.375999985,0.277999992,0.8,2,1,no,3.200000048,no,no,yes,White,yes,yes
63,1,0.320999985,0.251000004,0.888888889,1,2,no,4.300000191,no,no,yes,White,no,yes
64,1,0.278999996,0.207999992,0.751879699,1,2,no,5.300000191,no,no,no,Hispanic,no,yes
65,1,0.317000008,0.246000004,0.894039735,2,2,no,3.200000048,no,no,no,White,no,yes
66,1,0.285,0.26,0.65,1,2,no,3.900000095,yes,no,no,African-American,no,yes
67,1,0.365,0.24,0.940397351,2,2,no,3.099999905,no,no,no,Hispanic,no,yes
68,1,0.337000008,0.313999996,0.425531915,4,1,no,3.200000048,no,no,no,White,no,yes
69,1,0.35,0.27,0.678571429,1,1,no,3.200000048,no,no,yes,White,yes,yes
70,1,0.352000008,0.288999996,0.884615385,2,2,no,3.200000048,no,no,yes,White,yes,yes
71,1,0.35,0.28,0.939189189,1,1,no,3.200000048,no,no,no,White,no,yes
72,1,0.344000015,0.251000004,0.902439024,1,2,no,3.099999905,no,no,no,White,no,yes
73,1,0.28,0.28,0.738255034,1,2,no,3.200000048,no,no,no,White,yes,yes
74,1,0.377999992,0.225,0.899470899,2,2,no,4.300000191,no,no,no,White,no,yes
75,1,0.257999992,0.193999996,0.677966102,2,2,no,5.300000191,no,no,no,White,no,yes
76,1,0.217999992,0.081999998,0.802197802,2,1,no,10.60000038,yes,no,no,White,no,yes
77,1,0.23,0.17,0.553072626,1,1,no,3.099999905,no,no,no,White,no,yes
78,1,0.285,0.285,0.651567944,1,2,no,3.200000048,no,no,no,White,no,yes
79,0,0.265,0.265,0.835164835,2,2,yes,4.300000191,no,yes,no,White,no,yes
80,1,0.36,0.24,0.784313725,1,4,no,5.300000191,no,no,yes,White,yes,yes
81,1,0.272000008,0.27,0.666666667,1,1,no,2,no,no,no,White,no,yes
82,1,0.36,0.22,0.801136364,2,1,no,3.200000048,yes,no,yes,White,yes,yes
83,0,0.31,0.31,0.882352941,4,2,no,3.200000048,no,no,no,African-American,no,yes
84,0,0.359000015,0.288999996,0.902985075,2,2,no,4.300000191,no,no,no,White,yes,yes
85,1,0.397000008,0.243999996,0.660377358,2,1,no,3.200000048,no,no,no,White,no,yes
86,1,0.34,0.26,0.746753247,2,1,no,10.60000038,yes,no,no,Hispanic,no,yes
87,0,0.218999996,0.212999992,0.767676768,2,2,no,4.300000191,no,no,no,African-American,no,yes
88,1,0.32,0.32,0.85,1,2,no,4.300000191,no,no,no,Hispanic,yes,yes
89,1,0.32,0.24,0.948148148,1,2,no,4.300000191,no,no,no,White,no,yes
90,1,0.28,0.28,0.434782609,1,2,no,2,no,no,no,White,yes,yes
91,0,0.387999992,0.32,0.888111888,3,2,no,2,no,no,no,African-American,no,yes
92,1,0.25,0.18,0.782608696,1,2,no,3.200000048,no,no,yes,White,yes,yes
93,1,0.34,0.25,0.8,1,1,no,10.60000038,no,no,no,White,no,yes
94,1,0.32,0.22,0.730593607,2,2,no,3.200000048,no,no,no,White,yes,yes
95,1,0.312000008,0.256000004,0.792207792,1,2,no,1.799999952,yes,no,no,White,no,yes
96,1,0.33,0.31,0.580246914,1,2,no,4.300000191,no,no,yes,White,yes,yes
97,1,0.32,0.31,0.636363636,2,2,no,3.200000048,no,no,no,White,no,yes
98,1,0.38,0.3,0.876470588,2,1,no,10.60000038,no,no,no,White,no,yes
99,1,0.32,0.2,0.796992481,1,2,no,2,no,no,no,White,no,yes
100,1,0.23,0.22,0.922222222,1,2,no,4.300000191,no,no,no,White,no,yes
101,1,0.27,0.27,0.751269036,2,2,no,4.300000191,no,no,no,White,no,yes
102,1,0.313999996,0.313999996,0.666666667,5,1,no,1.799999952,no,no,no,White,yes,yes
103,1,0.35,0.23,0.851851852,3,2,no,3.900000095,no,no,no,Hispanic,yes,yes
104,1,0.32,0.27,0.743362832,2,2,no,3.200000048,yes,no,no,White,yes,yes
105,1,0.357999992,0.101999998,0.8,1,1,no,3.900000095,no,no,no,Hispanic,no,yes
106,0,0.35,0.33,0.9296875,1,2,no,3.900000095,no,yes,no,White,yes,yes
107,1,0.34,0.24,0.922535211,3,2,no,3.099999905,no,no,no,White,no,yes
108,1,0.31,0.22,0.8,2,2,no,10.60000038,yes,no,no,Hispanic,yes,yes
109,1,0.29,0.21,0.703225806,3,3,no,3.099999905,no,no,no,White,no,yes
110,0,0.61,0.39,0.555555556,1,2,no,10.60000038,no,no,no,White,no,yes
111,1,0.262999992,0.226000004,0.625407166,1,1,no,3.200000048,no,no,no,White,no,yes
112,1,0.262000008,0.257999992,0.687022901,2,2,no,4.300000191,no,no,no,White,yes,yes
113,1,0.36,0.288999996,0.7875,1,2,no,3.200000048,no,no,no,White,no,yes
114,0,0.46,0.31,1.105555556,2,1,no,4.300000191,yes,no,no,White,yes,yes
115,1,0.305,0.217999992,0.666666667,1,2,no,3.200000048,no,no,no,White,no,yes
116,1,0.384000015,0.28,0.506666667,2,2,no,3.900000095,no,no,no,White,yes,yes
117,1,0.263999996,0.215,0.78817734,1,2,no,10.60000038,yes,no,no,White,no,yes
118,1,0.33,0.308999996,0.302325581,1,1,no,3.200000048,no,no,no,White,no,yes
119,0,0.47,0.31,0.89261745,3,2,no,3.200000048,yes,no,no,African-American,yes,yes
120,1,0.19,0.18,0.738888889,1,2,no,1.799999952,no,no,no,White,no,yes
121,1,0.3,0.3,0.894736842,4,2,no,4.300000191,no,no,no,White,yes,yes
122,1,0.36,0.26,0.738636364,1,1,no,3.900000095,no,no,no,White,no,yes
123,1,0.33,0.26,0.7,1,2,no,3.900000095,no,no,no,White,yes,yes
124,1,0.23,0.23,0.736842105,1,2,no,3.099999905,no,no,yes,Hispanic,yes,yes
125,1,0.41,0.34,0.8,3,1,no,3.200000048,no,no,no,White,no,yes
126,1,0.36,0.3,0.950617284,2,2,no,1.799999952,no,no,no,White,no,yes
127,0,0.41,0.33,0.694594595,1,2,no,1.799999952,no,no,no,White,no,yes
128,1,0.33,0.33,0.681818182,1,2,no,5.300000191,no,no,no,White,no,yes
129,0,0.29,0.29,0.571428571,6,2,yes,1.799999952,no,no,yes,White,yes,yes
130,1,0.41,0.28,0.786786787,1,1,no,3.099999905,no,no,no,White,no,yes
131,1,0.33,0.28,0.89787234,1,2,no,3.599999905,no,no,no,White,no,yes
132,1,0.23,0.19,0.889175258,1,1,no,3.200000048,no,no,no,White,no,yes
133,1,0.39,0.34,0.717037037,1,1,no,3.200000048,yes,no,no,White,no,yes
134,1,0.39,0.15,0.798469388,5,1,no,3.200000048,yes,no,no,White,no,yes
135,1,0.27,0.24,0.8,1,1,no,3.200000048,no,no,no,White,no,yes
136,1,0.384000015,0.141999998,0.8,1,1,no,4.300000191,yes,no,yes,White,yes,yes
137,1,0.382000008,0.277000008,0.804123711,6,2,no,3.900000095,no,no,yes,African-American,yes,yes
138,1,0.37,0.261000004,0.581300813,1,2,no,3.200000048,no,no,no,Hispanic,no,yes
139,1,0.325,0.322999992,0.781914894,4,2,no,3.200000048,no,no,yes,White,yes,yes
140,1,0.397999992,0.357999992,0.642857143,1,1,no,3.200000048,no,no,no,White,yes,yes
141,1,0.395,0.306000004,0.8,2,2,no,3.200000048,no,no,yes,White,yes,yes
142,1,0.407000008,0.337000008,0.74893617,1,2,no,3.200000048,no,no,yes,White,yes,yes
143,1,0.301000004,0.198999996,0.779069767,1,2,no,1.799999952,no,no,yes,White,yes,yes
144,1,0.365,0.317999992,0.9,1,2,no,3.200000048,no,no,no,White,yes,yes
145,1,0.266000004,0.257000008,0.797752809,1,2,no,3.200000048,no,no,yes,White,yes,yes
146,1,0.267999992,0.242000008,0.894736842,1,2,no,3.200000048,no,no,yes,Hispanic,no,yes
147,1,0.268999996,0.226000004,0.798780488,1,2,no,3.900000095,no,no,yes,White,no,yes
148,1,0.409000015,0.315,0.887850467,6,2,no,3.200000048,no,no,no,African-American,yes,yes
149,1,0.307999992,0.28,0.581395349,6,2,no,3.200000048,no,no,no,White,no,yes
150,1,0.311000004,0.311000004,0.666666667,5,2,no,3.200000048,no,no,yes,White,yes,yes
151,1,0.36,0.3,0.862745098,1,2,no,1.799999952,no,no,yes,African-American,no,yes
152,1,0.39,0.31,0.813333333,2,2,no,3.200000048,no,no,no,White,no,yes
153,1,0.32,0.32,0.732307692,1,2,no,3.200000048,no,no,no,White,no,yes
154,1,0.18,0.16,0.314814815,1,2,no,5.300000191,no,no,no,White,no,yes
155,1,0.34,0.27,0.379807692,6,2,no,1.799999952,no,no,no,White,no,yes
156,1,0.327999992,0.327999992,0.868965517,1,2,no,3.099999905,no,no,yes,African-American,yes,yes
157,0,0.383800011,0.289400005,0.987951807,6,2,no,3.200000048,no,no,yes,African-American,yes,yes
158,1,0.337999992,0.252999992,0.9,6,2,no,3.200000048,no,no,yes,African-American,no,yes
159,1,0.281000004,0.271000004,0.4675,1,2,no,3.200000048,no,no,no,White,no,yes
160,0,0.392299995,0.333800011,0.902255639,6,2,yes,4.300000191,no,no,yes,African-American,yes,yes
161,1,0.362999992,0.208999996,0.471380471,1,1,no,3.200000048,no,no,no,White,no,yes
162,1,0.245799999,0.230799999,0.311111111,1,1,no,2,no,no,no,White,no,yes
163,1,0.382099991,0.330900002,0.797297297,1,2,no,3.200000048,no,no,no,Hispanic,no,yes
164,1,0.32,0.28,0.65,1,1,no,2,no,no,no,White,no,yes
165,1,0.286000004,0.255,0.65,5,2,no,2,no,no,yes,African-American,no,yes
166,1,0.266000004,0.21,0.555555556,2,1,no,1.799999952,no,no,no,White,yes,yes
167,1,0.315,0.287000008,0.901315789,1,1,no,3.200000048,no,no,no,African-American,no,yes
168,1,0.304699993,0.238999996,0.47826087,1,2,no,3.599999905,no,no,no,African-American,yes,yes
169,1,0.337999992,0.292000008,0.902857143,1,2,no,3.200000048,no,no,no,White,yes,yes
170,1,0.365999985,0.272999992,0.651785714,1,2,no,3.200000048,no,no,yes,White,yes,yes
171,1,0.370999985,0.245,0.593220339,1,2,no,3.200000048,yes,no,yes,African-American,no,yes
172,1,0.380999985,0.318999996,0.315581854,1,2,no,3.599999905,no,no,no,White,no,yes
173,1,0.35,0.31,0.898550725,1,2,no,3.900000095,no,no,yes,African-American,yes,yes
174,1,0.34,0.29,0.952380952,2,2,no,5.300000191,no,no,no,African-American,no,yes
175,1,0.265200005,0.2125,0.891089109,6,2,no,3.599999905,no,no,no,White,no,yes
176,1,0.35,0.26,0.9,2,2,no,3.200000048,no,no,no,White,yes,yes
177,0,0.39,0.26,0.902255639,6,2,no,3.200000048,no,no,yes,African-American,yes,yes
178,0,0.39,0.24,0.779661017,2,2,no,4.300000191,yes,no,no,White,yes,yes
179,1,0.3,0.17,0.402173913,1,1,no,3.099999905,no,no,no,White,no,yes
180,1,0.29,0.29,0.709090909,1,1,no,1.799999952,no,no,no,White,no,yes
181,1,0.35,0.34,0.80148423,1,2,no,3.599999905,no,no,yes,White,no,yes
182,1,0.39,0.27,0.833333333,1,1,no,2,no,no,no,White,yes,yes
183,1,0.36,0.28,0.903703704,6,2,no,3.900000095,no,no,no,African-American,yes,yes
184,1,0.26,0.26,0.736111111,1,1,no,1.799999952,no,no,yes,White,yes,yes
185,1,0.36,0.23,0.7421875,1,1,no,3.200000048,no,no,yes,White,yes,yes
186,1,0.27,0.22,0.774011299,1,2,no,3.900000095,no,no,no,White,no,yes
187,1,0.357000008,0.2,0.8,5,2,no,3.099999905,no,no,yes,White,yes,yes
188,1,0.3,0.197000008,0.883495146,1,2,no,3.099999905,no,no,yes,African-American,no,yes
189,1,0.39,0.29,0.905660377,1,2,no,2,no,no,yes,African-American,no,yes
190,1,0.31,0.3,0.897959184,1,2,no,1.799999952,no,no,no,White,no,yes
191,0,0.43,0.21,0.5625,2,1,no,3.200000048,yes,no,yes,White,no,yes
192,0,0.4,0.26,0.531468531,6,2,yes,3.200000048,no,yes,no,African-American,no,yes
193,1,0.34,0.23,0.883928571,6,2,no,3.099999905,no,no,no,African-American,yes,yes
194,0,0.405999985,0.405999985,0.898305085,4,2,no,3.599999905,yes,no,no,White,no,yes
195,0,0.23,0.13,0.338164251,1,2,no,3.599999905,no,no,no,White,no,yes
196,0,0.73,0.37,0.456273764,1,1,no,3.200000048,yes,no,no,White,yes,yes
197,1,0.38,0.35,0.577235772,1,2,no,2,no,no,yes,African-American,yes,yes
198,1,0.382999992,0.360900002,0.608,1,2,no,3.099999905,no,no,yes,African-American,yes,yes
199,1,0.32,0.221000004,0.897196262,1,2,no,10.60000038,no,no,yes,Hispanic,no,no
200,1,0.292999992,0.25,0.852173913,1,2,no,3.900000095,no,no,no,Hispanic,no,yes
201,1,0.240300007,0.235,0.256410256,1,2,no,1.799999952,no,no,yes,Hispanic,yes,yes
202,1,0.193999996,0.115,0.727777778,2,2,no,3.200000048,no,no,yes,Hispanic,yes,yes
203,1,0.293999996,0.258999996,0.573770492,6,2,no,1.799999952,no,no,yes,African-American,yes,yes
204,1,0.382000008,0.268999996,0.608,2,2,no,3.200000048,no,no,yes,African-American,yes,yes
205,1,0.379799995,0.279599991,0.608,6,2,no,3.200000048,yes,no,yes,African-American,yes,yes
206,1,0.335900002,0.219400005,0.809859155,1,2,no,3.200000048,no,no,no,African-American,no,yes
207,1,0.390299988,0.277199993,0.608,6,2,no,3.900000095,no,no,yes,African-American,yes,yes
