"id","flex","level","female","haskids","salary","tenure","produc"
1,0,"Manager",0,0,136906.802507677,9,5.16
2,1,"Entry",1,0,50003.4553667745,1,6.91
3,0,"Manager",0,1,122896.502610076,9,4.4
4,0,"Manager",0,1,126221.443490273,8,4.06
5,1,"Entry",0,0,53094.3685165048,2,6.96
6,0,"Entry",0,1,50166.4641739089,3,3.08
7,1,"Manager",0,1,118304.496501945,9,8.77
8,1,"Manager",0,1,118975.166821935,9,4.08
9,1,"Manager",0,0,129704.97799295,11,5.35
10,1,"Entry",1,0,45608.6033040822,1,5.76
11,0,"Manager",1,0,115702.190483022,9,6.55
12,0,"Manager",1,1,106476.706766668,7,5.94
13,1,"Manager",1,1,108011.358862216,7,5.06
14,0,"Manager",0,0,139638.032915939,11,4.1
15,0,"Entry",0,0,45081.4147784629,0,4.57
16,0,"Manager",0,0,121717.088525258,8,6.26
17,1,"Manager",1,1,126050.495293483,8,4.47
18,0,"Entry",0,0,50642.8532851252,2,5.24
19,0,"Entry",0,0,56086.9857966325,4,5.92
20,1,"Entry",1,1,51814.3022990924,3,4.18
21,0,"Entry",1,0,47221.0241925112,1,4.57
22,1,"Manager",0,0,126838.143645051,9,7.04
23,1,"Manager",0,1,135843.857724371,10,4.1
24,0,"Entry",1,1,45773.9046134477,2,3.21
25,0,"Manager",0,1,112573.990545997,5,5.04
26,0,"Entry",1,1,52620.7641851619,2,3.39
27,1,"Entry",0,1,48067.6167792003,1,4.61
28,1,"Manager",0,1,127109.006361264,10,7.08
29,1,"Manager",1,1,115803.131826786,8,5.75
30,1,"Entry",1,0,49527.9779944941,2,6.05
31,1,"Manager",1,1,104503.836534596,5,4.83
32,0,"Entry",0,0,41343.5409577757,0,6.59
33,1,"Manager",0,0,123065.39596063,7,5.45
34,1,"Manager",1,1,113405.124905126,5,7.17
35,1,"Manager",0,0,110835.351544325,7,7.45
36,1,"Manager",1,1,104608.376505517,5,2.72
37,1,"Manager",0,1,122750.969910549,9,5.84
38,1,"Manager",0,0,125160.836043766,11,7.38
39,0,"Entry",1,0,53229.3065469447,3,5.24
40,1,"Entry",0,0,55181.0212897938,3,5.72
41,1,"Entry",0,1,54705.4315811832,4,6.54
42,1,"Entry",0,0,50480.2371630361,3,4.96
43,1,"Manager",0,0,116687.694336733,6,4
44,1,"Entry",1,1,48894.790161211,2,3.26
45,1,"Manager",1,1,109864.49906695,7,4.59
46,1,"Manager",0,1,146948.634494108,15,4.3
47,1,"Manager",1,0,120321.581085249,8,7.85
48,0,"Entry",0,1,47359.2661119814,2,4.17
49,1,"Entry",1,0,48092.6387319714,2,5.03
50,1,"Manager",0,1,120700.071070816,7,4.09
51,1,"Manager",0,1,127547.230924544,10,4.95
52,0,"Entry",1,0,51987.9761927597,3,4.57
53,1,"Entry",0,1,54062.678249154,3,6.02
54,1,"Entry",1,1,43454.1030455662,0,6.99
55,0,"Entry",0,0,50175.8171301667,2,5.92
56,1,"Entry",1,0,48884.2983889634,2,4.92
57,0,"Entry",1,0,45826.6869598249,1,6.59
58,1,"Manager",1,1,118355.16152595,7,5
59,1,"Entry",0,1,51736.7712931975,3,3.78
60,0,"Entry",0,0,49239.7000606151,3,5.24
61,0,"Manager",0,0,115414.759910358,8,3.62
62,1,"Entry",1,1,49636.9607644492,2,6.53
63,1,"Entry",0,0,54137.5366037216,3,7
64,0,"Entry",1,0,56191.151693793,4,7.93
65,0,"Manager",0,1,148622.142170771,15,5.47
66,0,"Manager",1,1,111274.388664757,7,3.04
67,1,"Entry",1,0,46229.0308672428,1,6.44
68,1,"Entry",1,1,50246.5152535988,3,4.8
69,1,"Entry",1,1,50947.4259724173,1,5.67
70,0,"Entry",1,1,49205.6088151439,1,4.31
71,1,"Entry",1,1,50347.3487496346,2,6.06
72,0,"Manager",1,0,106853.506857488,6,5.21
73,1,"Manager",0,1,125019.127831584,7,4.99
74,0,"Manager",0,0,129009.960991111,9,6.18
75,0,"Entry",1,0,53918.5315966027,3,5.92
76,0,"Entry",0,0,48192.389861295,2,6.59
77,0,"Manager",0,0,121576.207327094,6,4.75
78,1,"Manager",0,1,127895.051277004,9,4.45
79,1,"Entry",0,1,48462.1671480958,2,5.74
80,1,"Manager",1,1,122874.702158384,7,4.95
81,1,"Manager",0,1,131278.343410486,9,6.02
82,0,"Entry",0,0,47067.743024312,1,5.24
83,0,"Entry",0,0,44027.7264477723,1,4.57
84,0,"Entry",0,0,52657.0750579666,2,4.57
85,1,"Manager",0,0,127149.032171059,11,5.77
86,1,"Manager",1,1,114918.061991978,8,6.24
87,1,"Entry",1,1,49869.0475301241,2,6.46
88,1,"Manager",0,1,108576.762530774,7,5.32
89,0,"Manager",0,1,118410.4872063,6,5.55
90,1,"Entry",0,1,47953.498468664,1,4.42
91,0,"Entry",0,0,49100.2177425254,2,5.92
92,1,"Entry",0,0,52198.1895655769,2,7.03
93,0,"Entry",1,1,54485.7794111743,4,3.83
94,0,"Manager",0,1,138752.383460378,11,5.8
95,0,"Manager",0,1,101731.008111499,6,6.1
96,1,"Entry",1,1,54127.8007442703,2,7.1
97,0,"Entry",0,0,51947.2742815563,3,7.26
98,1,"Manager",0,1,127014.780006256,11,9.01
99,1,"Manager",0,1,122958.87085799,7,2.29
100,1,"Manager",0,1,130742.742481343,10,4.48
101,1,"Manager",1,0,96794.5678778446,4,8.52
102,1,"Entry",0,0,49437.8709893023,2,7.54
103,0,"Entry",0,0,49176.9359290106,1,7.26
104,0,"Entry",0,0,50326.7471525421,2,5.24
105,1,"Manager",1,0,106673.446938256,6,7.41
106,1,"Entry",0,0,51650.9525695516,3,7.39
107,1,"Manager",0,1,141327.942487668,13,5.26
108,1,"Manager",0,1,124959.128364243,9,5.46
